,name,node-count,edge-count,isolate-count,num-connected-components,max-connected-components,min-degree,max-degree,mean-degree,median-degree,num-clusters,min-cluster-size,max-cluster-size,mean-cluster-size,median-cluster-size,num-singletons,num-non-singletons,modularity-score,node-coverage,mixing-parameter,tau1,xmin1,tau2,xmin2,tau1-fixed,xmin1-fixed,tau2-fixed,xmin2-fixed
0,cen_leiden.001.tsv,13989436,92051051,0,91,13988426,1,256743,13.160080363497142,3.0,2239253,1,16481,6.24736731401052,1.0,2172927,66326,0.38904963496154976,0.8446737238013027,0.5216179061103535,2.6183156732185005,268.0,2.3625931614608975,116.0,1.517390782865615,1.0,2.2022712661962895,1.0
1,cen_leiden.01.tsv,13989436,92051051,0,91,13988426,1,256743,13.160080363497142,3.0,3526074,1,3186,3.9674255276548367,1.0,3245556,280518,0.24403638052157045,0.7679995104877709,0.6451364485691575,2.6183156732185005,268.0,2.7425379957678606,23.0,1.517390782865615,1.0,2.0357334512309233,1.0
2,cen_leiden.1.tsv,13989436,92051051,0,91,13988426,1,256743,13.160080363497142,3.0,8858117,1,319,1.5792787564219348,1.0,8341818,516299,0.0958718553347051,0.40370591066001515,0.8795225438190347,2.6183156732185005,268.0,4.652018606258761,109.0,1.517390782865615,1.0,2.205330538951122,1.0
3,cen_leiden.5.tsv,13989436,92051051,0,91,13988426,1,256743,13.160080363497142,3.0,13135210,1,68,1.0650332960036422,1.0,12701653,433557,0.02209338264341283,0.09205396128907556,0.987610915101509,2.6183156732185005,268.0,3.2705182196933995,6.0,1.517390782865615,1.0,2.3805240773058234,1.0
4,orkut_leiden.001.tsv,3072441,117185083,0,1,3072441,1,33313,76.28142118921079,45.0,117334,1,61975,26.185427923704978,1.0,106347,10987,0.5253273349125597,0.9653868048239169,0.5191668829296748,2.967242433968794,171.0,2.2408125447898564,872.0,1.2291007970116312,1.0,1.9964752540715098,1.0
5,orkut_leiden.01.tsv,3072441,117185083,0,1,3072441,1,33313,76.28142118921079,45.0,163141,1,12383,18.833040130929685,1.0,115991,47150,0.38965564367831185,0.9622479325070847,0.6271752468319138,2.967242433968794,171.0,3.351242578326312,782.0,1.2291007970116312,1.0,1.6115825080381048,1.0
6,orkut_leiden.1.tsv,3072441,117185083,0,1,3072441,1,33313,76.28142118921079,45.0,379818,1,1396,8.089245375416647,4.0,147525,232293,0.2327099369113423,0.9519844319223705,0.7441199526478623,2.967242433968794,171.0,2.1848052589497264,8.0,1.2291007970116312,1.0,1.519142694913299,1.0
7,orkut_leiden.5.tsv,3072441,117185083,0,1,3072441,1,33313,76.28142118921079,45.0,965251,1,194,3.1830487614102445,2.0,347382,617869,0.10599232870090666,0.8869361527202638,0.8672408317219394,2.967242433968794,171.0,2.3609653897321365,3.0,1.2291007970116312,1.0,1.6945206239410537,1.0
8,wiki_talk_leiden.001.tsv,2394385,4659565,0,2555,2388953,1,100029,3.8920766710449657,1.0,526376,1,4680,4.548811116008329,1.0,509786,16590,0.4175200412120774,0.7870910484320608,0.3574919915336954,1.900965243099054,7.0,1.860711199226316,40.0,2.003217827452085,1.0,2.2682864054159646,1.0
9,wiki_talk_leiden.01.tsv,2394385,4659565,0,2555,2388953,1,100029,3.8920766710449657,1.0,1616844,1,200,1.4809004455593737,1.0,1584839,32005,0.16861970636947474,0.33810185078840704,0.7534794928822948,1.900965243099054,7.0,1.9168171961005953,13.0,2.003217827452085,1.0,2.35478064170921,1.0
10,wiki_talk_leiden.1.tsv,2394385,4659565,0,2555,2388953,1,100029,3.8920766710449657,1.0,2194175,1,1142,1.0912461403488782,1.0,2145637,48538,0.009631479850780318,0.10388805476145231,0.9405193281107955,1.900965243099054,7.0,2.0340664238848776,22.0,2.003217827452085,1.0,2.3803545387172846,1.0
11,wiki_talk_leiden.5.tsv,2394385,4659565,0,2555,2388953,1,100029,3.8920766710449657,1.0,2340552,1,149,1.0230001298838907,1.0,2292706,47846,0.012532789009485661,0.04246560181424457,0.9835505492536615,1.900965243099054,7.0,2.9310937971170308,9.0,2.003217827452085,1.0,2.4122460424674275,1.0
12,wiki_topcats_leiden.001.tsv,1791489,25444207,0,1,1791489,1,238342,28.405652504704186,11.0,103778,1,21256,17.262705004914338,1.0,84283,19495,0.4174619582835405,0.952953660335062,0.5455398673405322,2.4302607115379926,377.0,1.9356236403272018,64.0,1.3087066246344008,1.0,1.8830538676059771,1.0
13,wiki_topcats_leiden.01.tsv,1791489,25444207,0,1,1791489,1,238342,28.405652504704186,11.0,154558,1,2576,11.591046726795119,1.0,96083,58475,0.26567672826652444,0.9463669606679137,0.6822766122599584,2.4302607115379926,377.0,2.421876857159778,20.0,1.3087066246344008,1.0,1.5803523619381026,1.0
14,wiki_topcats_leiden.1.tsv,1791489,25444207,0,1,1791489,1,238342,28.405652504704186,11.0,412302,1,525,4.345089279217661,3.0,171590,240712,0.13864607445252958,0.9042193393316956,0.7907870685919025,2.4302607115379926,377.0,3.310720895475923,30.0,1.3087066246344008,1.0,1.5951332365221549,1.0
15,wiki_topcats_leiden.5.tsv,1791489,25444207,0,1,1791489,1,238342,28.405652504704186,11.0,1029883,1,155,1.7395073032567776,1.0,574765,455118,0.05600677377681412,0.6791691157467336,0.901817064470001,2.4302607115379926,377.0,4.047551148002878,7.0,1.3087066246344008,1.0,1.916803755077956,1.0
16,cit_hepph_leiden.001.tsv,34546,420877,0,61,34401,1,846,24.36617842876165,15.0,1359,1,3728,25.420161883738043,1.0,1005,354,0.7218260601115799,0.9709083540786199,0.22086490480014306,3.6312283315636975,85.0,1.4385984619108132,5.0,1.2997088572994,1.0,1.8772145155103803,1.0
17,cit_hepph_leiden.01.tsv,34546,420877,0,61,34401,1,846,24.36617842876165,15.0,2136,1,800,16.173220973782772,1.0,1322,814,0.5992111149783027,0.9617321831760551,0.37999943730019126,3.6312283315636975,85.0,1.8497807268067572,23.0,1.2997088572994,1.0,1.622200259246516,1.0
18,cit_hepph_leiden.1.tsv,34546,420877,0,61,34401,1,846,24.36617842876165,15.0,5145,1,164,6.7144800777453835,2.0,2107,3038,0.39667476568058097,0.9390088577548775,0.5688989654891643,3.6312283315636975,85.0,2.3279491808904296,9.0,1.2997088572994,1.0,1.5557319566744492,1.0
19,cit_hepph_leiden.5.tsv,34546,420877,0,61,34401,1,846,24.36617842876165,15.0,12776,1,55,2.703976205385097,2.0,5210,7566,0.17664392285118172,0.8491865917906559,0.7806887626069413,3.6312283315636975,85.0,2.785522558637582,4.0,1.2997088572994,1.0,1.7292848566341936,1.0
20,cit_patents_leiden.001.tsv,3774768,16518947,0,3627,3764117,1,793,8.752297889565664,6.0,51485,1,3009,73.31782072448286,3.0,21926,29559,0.6574930705424237,0.9941914311025207,0.28425542418309213,4.017139605625715,49.0,4.993478844438632,982.0,1.428092270178149,1.0,1.3524534769663552,1.0
21,cit_patents_leiden.01.tsv,3774768,16518947,0,3627,3764117,1,793,8.752297889565664,6.0,199182,1,789,18.951351025695093,14.0,64965,134217,0.5348909361689501,0.9827896707824163,0.3820148691432901,4.017139605625715,49.0,2.569536464741887,16.0,1.428092270178149,1.0,1.3725243336202433,1.0
22,cit_patents_leiden.1.tsv,3774768,16518947,0,3627,3764117,1,793,8.752297889565664,6.0,679867,1,327,5.552215359768896,5.0,123334,556533,0.36848156922816194,0.9673267337224434,0.5114630816981359,4.017139605625715,49.0,4.628515785985646,40.0,1.428092270178149,1.0,1.473393733581232,1.0
23,cit_patents_leiden.5.tsv,3774768,16518947,0,3627,3764117,1,793,8.752297889565664,6.0,2192591,1,116,1.7216015207578614,2.0,1049816,1142775,0.14165336860625163,0.721885954315603,0.8046093806815847,4.017139605625715,49.0,4.212153224430446,12.0,1.428092270178149,1.0,1.8936274238995843,1.0
